date,platform,campaign_type,industry,country,impressions,clicks,CTR,CPC,ad_spend,conversions,CPA,revenue,ROAS,conversion_rate,spend_efficiency,ctr_cpc_ratio,log_impressions,cost_per_impression,high_roas,platform_enc,campaign_type_enc,industry_enc,country_enc
2024-04-22,Meta Ads,Video,E-commerce,UAE,98264,3144,0.032,1.56,4904.64,129,38.02,23127.27,4.72,0.04103053435114504,4.715385838715991,0.020512807363585024,11.495423189834087,0.049912887731010346,1,1,3,0,4
2024-09-11,Meta Ads,Video,Fintech,Canada,173229,5092,0.0294,1.72,8758.24,65,134.74,12320.17,1.41,0.012765121759622938,1.4066947240541479,0.017093013318015514,12.062375470272986,0.050558740164753015,0,1,3,2,1
2024-05-26,Meta Ads,Video,SaaS,Canada,147483,2138,0.0145,0.57,1218.66,159,7.66,42434.18,34.82,0.07436856875584659,34.82036006761525,0.02543855186218972,11.901474974301948,0.008263054046907102,1,1,3,4,1
2024-02-29,Google Ads,Shopping,SaaS,USA,116472,4006,0.0344,2.68,10736.08,291,36.89,78428.38,7.31,0.07264103844233649,7.305122540070491,0.012835816106038764,11.665414765470821,0.0921773473452847,1,0,2,4,6
2024-04-22,TikTok Ads,Shopping,EdTech,Canada,37711,2111,0.056,0.68,1435.48,92,15.6,13898.86,9.68,0.04358124111795358,9.682378019895785,0.08235282006938224,10.537733625175912,0.03806528599082496,1,2,2,1,1
2024-10-15,TikTok Ads,Shopping,E-commerce,Germany,96412,7047,0.0731,1.11,7822.17,194,40.32,36717.43,4.69,0.02752944515396623,4.694020968605899,0.06585579652630943,11.476396326278334,0.08113274281209808,1,2,2,0,2
2024-08-13,TikTok Ads,Video,Fintech,Canada,184476,8854,0.048,0.35,3098.9,198,15.65,56216.92,18.14,0.022362773887508472,18.140927425860788,0.137142465307242,12.125280073445248,0.0167983911186279,1,2,3,2,1
2024-08-20,TikTok Ads,Search,Fintech,Germany,38828,3607,0.0929,0.97,3498.79,116,30.16,8788.51,2.51,0.03215968949265317,2.511871246916791,0.09577309714113696,10.566922669110548,0.09010997218502112,0,2,1,2,2
2024-12-25,Meta Ads,Video,SaaS,Canada,187957,4586,0.0244,2.1,9630.6,271,35.54,34433.97,3.58,0.059092891408634975,3.575475048283596,0.011619042086170435,12.143973812598318,0.05123831514654948,0,1,3,4,1
2024-11-01,Google Ads,Video,SaaS,Canada,34592,1615,0.0467,1.15,1857.25,116,16.01,4344.96,2.34,0.0718266253869969,2.339458877372459,0.04060866034029536,10.451406628439226,0.053690159574468085,0,0,3,4,1
2024-07-04,Meta Ads,Shopping,Fintech,USA,185798,5889,0.0317,0.9,5300.1,400,13.25,41326.63,7.8,0.06792324673119375,7.797330239052092,0.03522218308646324,12.132420723216068,0.028526141293232436,1,1,2,2,6
2024-12-30,TikTok Ads,Video,EdTech,India,194407,13122,0.0675,0.85,11153.7,379,29.43,56289.95,5.05,0.028882792257277853,5.046751302258443,0.07941167128038673,12.17771432242512,0.05737293410216711,1,2,3,1,3
2024-11-13,Google Ads,Search,SaaS,UAE,188062,8143,0.0433,1.8,14657.4,614,23.87,124232.5,8.48,0.0754021859265627,8.47575286203556,0.02405554219136545,12.144532292059461,0.07793919026703959,1,0,1,4,4
2024-12-14,Meta Ads,Shopping,Healthcare,India,195710,4481,0.0229,0.53,2374.93,352,6.75,27223.39,11.46,0.07855389422004017,11.462817851473517,0.04320746564629123,12.184394360286902,0.0121349445608298,1,1,2,3,3
2024-04-09,Google Ads,Display,Healthcare,Australia,198824,9046,0.0455,3.61,32656.06,407,80.24,71482.19,2.19,0.04499226177315941,2.1889410418770665,0.012603874624965478,12.200180319825336,0.1642460668732145,0,0,0,3,0
2024-06-08,Meta Ads,Shopping,SaaS,USA,196962,5081,0.0258,2.06,10466.86,282,37.12,24196.95,2.31,0.05550088565243062,2.3117678081105506,0.01252426576491953,12.190771172821373,0.05314151968399996,0,1,2,4,6
2024-08-29,Google Ads,Shopping,SaaS,UAE,105386,3783,0.0359,1.82,6885.06,130,52.96,36776.35,5.34,0.03436426116838488,5.341471243533099,0.019725263887217646,11.565394567823994,0.06533182775700758,1,0,2,4,4
2024-09-05,Google Ads,Search,Healthcare,UAE,49425,1996,0.0404,1.27,2534.92,98,25.87,9253.27,3.65,0.04909819639278557,3.6503203256907515,0.03181099857401687,10.808231880509911,0.051288214466363176,0,0,1,3,4
2024-12-26,Meta Ads,Video,E-commerce,Canada,191141,4453,0.0233,1.23,5477.19,72,76.07,8367.46,1.53,0.01616887491578711,1.5276921194992321,0.018943074030021115,12.16077188630001,0.028655233571028716,0,1,3,0,1
2024-05-23,TikTok Ads,Shopping,EdTech,Canada,91900,4696,0.0511,0.53,2488.88,367,6.78,109696.83,44.07,0.07815161839863714,44.07477660634502,0.09641491242469352,11.428467189677395,0.02708248095756257,1,2,2,1,1
2024-11-26,Google Ads,Video,Healthcare,Canada,11801,795,0.0674,2.97,2361.15,57,41.42,3966.25,1.68,0.07169811320754717,1.6797958621857991,0.022693595052661598,9.376024287617113,0.20008050165240235,0,0,3,3,1
2024-11-16,Meta Ads,Display,Fintech,UAE,193926,5837,0.0301,1.0,5837.0,193,30.24,28429.29,4.87,0.033064930615041975,4.870531094740449,0.0300999699000301,12.175237078571328,0.030099109969782288,1,1,0,2,4
2024-02-27,Google Ads,Display,EdTech,India,35355,961,0.0272,2.22,2133.42,68,31.37,6145.22,2.88,0.07075962539021852,2.880454856521454,0.01225224673322219,10.47322338818084,0.06034280865507,0,0,0,1,3
2024-11-12,TikTok Ads,Shopping,Healthcare,UAE,133148,9120,0.0685,0.5,4560.0,279,16.34,83385.98,18.29,0.030592105263157896,18.286399122807016,0.136999726000548,11.799224080887177,0.03424760416979602,1,2,2,3,4
2024-01-12,Meta Ads,Video,E-commerce,Canada,104657,4029,0.0385,0.71,2860.59,204,14.02,10401.62,3.64,0.05063291139240506,3.6361799488916624,0.054225275739048256,11.55845317024619,0.02733300209254995,0,1,3,0,1
2024-05-24,TikTok Ads,Shopping,Fintech,India,174160,9683,0.0556,1.84,17816.72,512,34.8,73177.92,4.11,0.05287617473923371,4.107261044681625,0.030217374881861474,12.067735437738522,0.10230087276067984,0,2,2,2,3
2024-01-05,TikTok Ads,Display,Fintech,UAE,6015,410,0.0683,1.93,791.3,28,28.26,4383.32,5.54,0.06829268292682927,5.539390875774043,0.03538858270021622,8.702177865629675,0.13155444721529508,1,2,0,2,4
2024-01-06,Meta Ads,Search,Healthcare,Australia,17763,726,0.0409,1.94,1408.44,30,46.95,1946.19,1.38,0.04132231404958678,1.381805401721053,0.021082463359554972,9.784929216411992,0.07929066036142544,0,1,1,3,0
2024-10-14,TikTok Ads,Search,EdTech,India,97193,6230,0.0641,1.6,9968.0,306,32.58,81609.12,8.19,0.04911717495987159,8.187110754414125,0.04006247496095315,11.484464260148194,0.10255882625291945,1,2,1,1,3
2024-03-06,Meta Ads,Shopping,Healthcare,UAE,58682,1748,0.0298,1.49,2604.52,84,31.01,12746.65,4.89,0.04805491990846682,4.894049575353616,0.019999986577190217,10.97990535569447,0.044383627006577824,1,1,2,3,4
2024-03-21,TikTok Ads,Display,SaaS,Canada,108196,5334,0.0493,0.99,5280.66,289,18.27,27408.56,5.19,0.05418072740907386,5.190366355720687,0.049797929497040906,11.591708918577602,0.04880642537616917,1,2,0,4,1
2024-01-08,Google Ads,Search,Fintech,India,63243,1707,0.027,2.24,3823.68,37,103.34,3893.12,1.02,0.021675454012888107,1.0181605155243116,0.012053566047515155,11.054755540430035,0.060460129974858876,0,0,1,2,3
2024-08-20,Google Ads,Search,E-commerce,UAE,152979,4650,0.0304,0.79,3673.5,330,11.13,91949.73,25.03,0.07096774193548387,25.030551245406286,0.0384809639481469,11.938062472875856,0.02401309983723256,1,0,1,0,4
2024-01-08,Google Ads,Display,EdTech,USA,132600,6802,0.0513,1.53,10407.06,97,107.29,6779.29,0.65,0.014260511614231109,0.651412598755076,0.03352938985007199,11.795099898183592,0.07848461538461537,0,0,0,1,6
2024-09-30,Google Ads,Video,Fintech,Australia,110977,4150,0.0374,1.13,4689.5,197,23.8,18314.78,3.91,0.047469879518072286,3.9054867256637165,0.033097315843083334,11.617087262452415,0.042256503599845015,0,0,3,2,0
2024-03-07,Google Ads,Search,EdTech,UK,87152,3599,0.0413,2.63,9465.37,127,74.53,25958.5,2.74,0.03528757988330092,2.742470711657336,0.0157034160823513,11.375420473763612,0.10860760510372683,0,0,1,1,5
2024-08-16,Meta Ads,Shopping,Fintech,UAE,164096,1919,0.0117,0.66,1266.54,139,9.11,7181.17,5.67,0.07243355914538822,5.669911728014907,0.01772724586780929,12.008212995375423,0.007718286856474259,1,1,2,2,4
2024-08-10,Meta Ads,Shopping,Healthcare,Germany,21389,941,0.044,0.8,752.8,46,16.37,8479.43,11.26,0.048884165781083955,11.263854941551543,0.054999931250085926,9.970678802076451,0.035195661321239885,1,1,2,3,2
2024-04-27,Google Ads,Shopping,Healthcare,India,69323,2169,0.0313,2.19,4750.11,94,50.53,16337.12,3.44,0.04333794375288151,3.4393140369380926,0.014292230916789536,11.146546445569266,0.06852141424923906,0,0,2,3,3
2024-05-17,Google Ads,Display,SaaS,UAE,138291,3318,0.024,0.83,2753.94,217,12.69,12761.51,4.63,0.06540084388185655,4.633909961727562,0.02891562781249661,11.837122670715829,0.019914094192680653,1,0,0,4,4
2024-11-29,TikTok Ads,Shopping,EdTech,UK,72444,2339,0.0323,1.39,3251.21,153,21.25,12919.22,3.97,0.06541256947413425,3.9736651892679955,0.023237393354393274,11.190582932254822,0.04487894097509801,0,2,2,1,5
2024-12-04,Google Ads,Search,Healthcare,UAE,160002,7520,0.047,2.96,22259.2,403,55.23,70823.58,3.18,0.05359042553191489,3.1817666403105234,0.015878373014063172,11.982947844040185,0.13911826102173724,0,0,1,3,4
2024-08-12,Meta Ads,Search,E-commerce,USA,16246,448,0.0276,1.99,891.52,8,111.44,1955.09,2.19,0.017857142857142856,2.1929850143575016,0.013869339764150872,9.69566355532975,0.05487627723747384,0,1,1,0,6
2024-06-05,Meta Ads,Shopping,Fintech,Germany,15789,423,0.0268,1.81,765.63,7,109.38,1223.95,1.6,0.016548463356973995,1.5986181314734271,0.014806621653800192,9.667132107249687,0.04849135474064222,0,1,2,2,2
2024-06-05,Google Ads,Search,EdTech,Australia,25103,710,0.0283,2.34,1661.4,24,69.23,1896.75,1.14,0.03380281690140845,1.1416576381365113,0.012094011925635929,10.130782474972813,0.06618332470222683,0,0,1,1,0
2024-12-28,TikTok Ads,Display,SaaS,India,138515,4377,0.0316,0.51,2232.27,285,7.83,10321.59,4.62,0.06511309115832763,4.623808947842331,0.06196066282222976,11.838741121402913,0.01611572753853373,1,2,0,4,3
2024-02-20,Meta Ads,Search,EdTech,Australia,180399,6025,0.0334,0.7,4217.5,191,22.08,17456.79,4.14,0.03170124481327801,4.13913218731476,0.04771421755111779,12.10293188661066,0.023378732698074823,0,1,1,1,0
2024-05-16,Meta Ads,Video,E-commerce,UAE,62545,606,0.0097,1.96,1187.76,37,32.1,5627.66,4.74,0.06105610561056106,4.738044722839631,0.004948977066848436,11.043657565009315,0.018990486849468382,1,1,3,0,4
2024-06-30,Google Ads,Shopping,Fintech,Canada,72526,2146,0.0296,1.56,3347.76,168,19.93,25859.74,7.72,0.0782851817334576,7.724490405524889,0.01897434681131615,11.191714185307065,0.04615944626754544,1,0,2,2,1
2024-07-07,Meta Ads,Display,EdTech,Australia,67823,2075,0.0306,1.83,3797.25,26,146.05,4093.91,1.08,0.01253012048192771,1.0781249588518007,0.016721302338086153,11.124671393592418,0.05598764430945254,0,1,0,1,0
2024-06-23,Meta Ads,Display,E-commerce,India,164937,4453,0.027,1.08,4809.24,129,37.28,35127.5,7.3,0.02896923422411857,7.304168642030758,0.024999976851873284,12.013324924692393,0.029158042161552593,1,1,0,0,3
2024-12-14,Meta Ads,Search,EdTech,UK,114575,2039,0.0178,0.53,1080.67,113,9.56,10656.96,9.86,0.055419323197645906,9.861437811727908,0.03358484229275039,11.64899363724672,0.009431987780929523,1,1,1,1,5
2024-06-13,Google Ads,Shopping,Fintech,Germany,132157,2999,0.0227,0.93,2789.07,152,18.35,21855.26,7.84,0.050683561187062354,7.836038536142871,0.02440857590475709,11.791753455468385,0.021104216954077347,1,0,2,2,2
2024-01-11,TikTok Ads,Video,Healthcare,Germany,108145,3882,0.0359,0.94,3649.08,98,37.24,28726.52,7.87,0.025244719216898505,7.872263693862563,0.038191448732501354,11.591237445029165,0.03374247538027648,1,2,3,3,2
2024-04-29,TikTok Ads,Search,SaaS,India,72642,3014,0.0415,1.16,3496.24,59,59.26,15070.44,4.31,0.019575315195753153,4.310470677070224,0.03577583122773171,11.193312311981844,0.04812973211090003,1,2,1,4,3
2024-04-07,TikTok Ads,Display,Healthcare,UAE,131678,8374,0.0636,0.91,7620.34,505,15.09,29682.01,3.9,0.06030570814425603,3.895103105635706,0.06989003308787572,11.788122421714382,0.057871018697124806,0,2,0,3,4
2024-05-13,Google Ads,Video,E-commerce,Australia,34402,1314,0.0382,3.29,4323.06,17,254.3,1273.24,0.29,0.01293759512937595,0.2945228611215204,0.011610938720079416,10.445899048861305,0.12566304284634616,0,0,3,0,0
2024-10-08,Meta Ads,Video,Healthcare,Germany,58276,1183,0.0203,1.49,1762.67,89,19.81,20273.71,11.5,0.07523245984784446,11.501704800104386,0.013624151930099375,10.97296278334936,0.0302469284096369,1,1,3,3,2
2024-08-14,Google Ads,Shopping,EdTech,Canada,168059,3462,0.0206,3.08,10662.96,154,69.24,33243.77,3.12,0.04448295782784518,3.117686833674702,0.006688309516782624,12.03207633748221,0.06344771776578463,0,0,2,1,1
2024-08-16,Meta Ads,Video,Fintech,Canada,91123,1567,0.0172,2.33,3651.11,64,57.05,5119.1,1.4,0.0408423739629866,1.402066768736083,0.0073819710806991064,11.419976495313845,0.04006793016033274,0,1,3,2,1
2024-05-28,Meta Ads,Shopping,Fintech,Australia,16344,452,0.0277,0.9,406.8,5,81.36,1102.53,2.71,0.011061946902654867,2.710250737463127,0.030777743580284907,9.70167731915831,0.02488986784140969,0,1,2,2,0
2024-03-26,TikTok Ads,Video,SaaS,UAE,99457,5808,0.0584,1.6,9292.8,80,116.16,12231.1,1.32,0.013774104683195593,1.316191029614325,0.03649997718751426,11.507490723480183,0.09343535397206833,0,2,3,4,4
2024-06-07,Meta Ads,Video,E-commerce,India,57375,843,0.0147,1.61,1357.23,40,33.93,9739.81,7.18,0.04744958481613286,7.17624131503135,0.009130429111534713,10.957381376404859,0.023655424836601307,1,1,3,0,3
2024-04-17,Google Ads,Display,E-commerce,UAE,115017,2771,0.0241,2.56,7093.76,95,74.67,22528.38,3.18,0.03428365211115121,3.175802395344641,0.009414058822633272,11.652843916836268,0.06167575228009772,0,0,0,0,4
2024-09-28,Meta Ads,Search,EdTech,USA,90431,1853,0.0205,1.7,3150.1,57,55.26,14834.93,4.71,0.03076092822450081,4.709352084060824,0.012058816435990332,11.4123534660442,0.03483429354977828,1,1,1,1,6
2024-03-13,Meta Ads,Search,E-commerce,USA,140566,5046,0.0359,0.62,3128.52,384,8.15,59980.19,19.17,0.07609988109393578,19.17206538554972,0.05790313241430256,11.853439522417773,0.022256591209823144,1,1,1,0,6
2024-02-28,Meta Ads,Search,EdTech,Germany,133583,3954,0.0296,0.65,2570.1,255,10.08,31756.12,12.36,0.06449165402124431,12.355986148398895,0.04553839147939772,11.802485772433782,0.019239723617526183,1,1,1,1,2
2024-04-08,Google Ads,Video,E-commerce,USA,198555,13104,0.066,2.46,32235.84,336,95.94,58794.32,1.82,0.02564102564102564,1.823880500709769,0.02682925738648074,12.1988264551912,0.16235219460602857,0,0,3,0,6
2024-09-23,Meta Ads,Display,Healthcare,UK,88560,1319,0.0149,0.52,685.88,81,8.47,8584.02,12.52,0.06141015921152388,12.515337959993003,0.028653791050401823,11.391446859098352,0.0077448057813911475,1,1,0,3,5
2024-06-24,Google Ads,Display,Fintech,UAE,117217,5602,0.0478,3.49,19550.98,411,47.57,75729.26,3.87,0.07336665476615495,3.873425270753691,0.013696271147200243,11.67179072795004,0.1667930419649027,0,0,0,2,4
2024-08-24,Meta Ads,Shopping,Fintech,UAE,104616,4048,0.0387,1.77,7164.96,233,30.75,45906.84,6.41,0.05755928853754941,6.407131372680377,0.021864394426895802,11.558061341307955,0.0684881853636155,1,1,2,2,4
2024-02-14,TikTok Ads,Video,Healthcare,Canada,79553,2712,0.0341,0.31,840.72,170,4.95,16973.79,20.19,0.06268436578171091,20.18958749643163,0.10999964516243496,11.284191315342774,0.010568048973640215,1,2,3,3,1
2024-08-20,Google Ads,Search,Fintech,USA,170904,4751,0.0278,1.12,5321.12,326,16.32,44297.15,8.32,0.0686171332351084,8.324779369756744,0.02482140640945856,12.048863125551074,0.031135140195665403,1,0,1,2,6
2024-07-14,Google Ads,Search,Healthcare,India,88807,4999,0.0563,2.37,11847.63,348,34.04,103474.34,8.73,0.06961392278455691,8.733758566059203,0.02375526423828513,11.394232015012483,0.1334087403020032,1,0,1,3,3
2024-08-14,Meta Ads,Shopping,EdTech,Canada,157499,1574,0.01,1.76,2770.24,45,61.56,13465.06,4.86,0.028589580686149935,4.860611354972854,0.005681814953514231,11.967180737247824,0.017588937072616332,1,1,2,1,1
2024-09-27,Meta Ads,Search,E-commerce,Australia,46846,983,0.021,0.72,707.76,11,64.34,2501.87,3.53,0.011190233977619531,3.5349129648468405,0.02916662615746367,10.754642251464746,0.015108226956410366,0,1,1,0,0
2024-09-18,TikTok Ads,Search,Fintech,Germany,104986,6131,0.0584,0.36,2207.16,219,10.08,57679.5,26.13,0.03572011091175991,26.132903822106236,0.16222177160619,11.56159181195082,0.02102337454517745,1,2,1,2,2
2024-05-24,Meta Ads,Shopping,EdTech,India,172516,6314,0.0366,0.72,4546.08,335,13.57,82096.8,18.06,0.053056699398162814,18.058811107591595,0.05083326273157954,12.058251061322386,0.026351642746180064,1,1,2,1,3
2024-08-23,Meta Ads,Display,E-commerce,India,187099,2469,0.0132,0.83,2049.27,103,19.9,3413.17,1.67,0.04171729445119481,1.6655540753536626,0.015903595296873137,12.139398512262181,0.010952864526266842,0,1,0,0,3
2024-04-04,Google Ads,Shopping,SaaS,India,111661,3930,0.0352,0.84,3301.2,310,10.65,21226.88,6.43,0.07888040712468193,6.430049678904641,0.04190471201819998,11.623231730221047,0.02956448536194374,1,0,2,4,3
2024-06-09,Meta Ads,Display,EdTech,Germany,79441,3082,0.0388,0.53,1633.46,100,16.33,29391.59,17.99,0.03244646333549643,17.993455609564972,0.07320740904262445,11.282782474635773,0.020561926461147267,1,1,0,1,2
2024-04-15,Google Ads,Display,SaaS,Australia,14078,763,0.0542,2.26,1724.38,57,30.25,16289.72,9.45,0.07470511140235911,9.446711281736043,0.02398229027332289,9.552439604462528,0.12248756925699673,1,0,0,4,0
2024-01-07,Meta Ads,Shopping,Fintech,Australia,182235,5047,0.0277,0.74,3734.78,260,14.36,53450.65,14.31,0.0515157519318407,14.311592650704995,0.037432381848132634,12.113057829361987,0.020494306801657203,1,1,2,2,0
2024-02-24,Meta Ads,Video,SaaS,Canada,128629,2109,0.0164,1.29,2720.61,168,16.19,49256.62,18.1,0.07965860597439545,18.10499116007072,0.012713168439404312,11.764695345072761,0.021150829128734578,1,1,3,4,1
2024-04-02,Meta Ads,Display,Fintech,Canada,21309,432,0.0203,1.66,717.12,15,47.81,4449.98,6.21,0.034722222222222224,6.20534917447568,0.012228908295838377,9.966931725092662,0.03365338589328453,1,1,0,2,1
2024-09-06,Google Ads,Search,Fintech,USA,167932,6717,0.04,2.46,16523.82,247,66.9,38475.06,2.33,0.03677236861694209,2.3284603681231095,0.016260155991806507,12.03132036931592,0.09839589833980421,0,0,1,2,6
2024-01-08,TikTok Ads,Search,Fintech,UK,162795,8107,0.0498,0.96,7782.72,575,13.54,86383.64,11.1,0.0709263599358579,11.099415114510094,0.05187494596359795,12.000253162224158,0.047806873675481434,1,2,1,2,5
2024-08-18,Meta Ads,Search,EdTech,UK,50893,1124,0.0221,1.41,1584.84,29,54.65,2707.5,1.71,0.025800711743772242,1.7083743469372303,0.015673747749115074,10.8375003173979,0.0311406283771835,0,1,1,1,5
2024-09-22,TikTok Ads,Display,SaaS,UAE,81619,3623,0.0444,0.47,1702.81,222,7.67,46448.44,27.28,0.061275186309688104,27.277523622717744,0.09446788411088489,11.309829608959797,0.020862911822002228,1,2,0,4,4
2024-07-25,Meta Ads,Search,EdTech,Germany,154381,1698,0.011,1.85,3141.3,70,44.88,19750.24,6.29,0.04122497055359246,6.2872823353388725,0.005945942731922847,11.947185329465919,0.020347711182075515,1,1,1,1,2
2024-01-12,Google Ads,Search,Fintech,India,124273,3603,0.029,1.55,5584.65,167,33.44,20460.25,3.66,0.04635026366916459,3.663658420850009,0.018709665348603,11.730244084259809,0.044938562680550076,0,0,1,2,3
2024-12-01,Meta Ads,Video,Healthcare,Germany,6969,176,0.0253,1.08,190.08,10,19.01,2562.91,13.48,0.056818181818181816,13.48332281144781,0.023425904235273857,8.84937050375457,0.02727507533362032,1,1,3,3,2
2024-05-24,TikTok Ads,Display,SaaS,UK,29089,1076,0.037,0.65,699.4,40,17.48,8233.32,11.77,0.03717472118959108,11.771975979410923,0.056922989349247145,10.278149751489247,0.024043452851593386,1,2,0,4,5
2024-07-10,Google Ads,Shopping,SaaS,UK,10704,489,0.0457,1.71,836.19,36,23.23,5339.04,6.38,0.0736196319018405,6.384960355899975,0.026725130570099082,9.278466201023782,0.07811939461883409,1,0,2,4,5
2024-12-04,TikTok Ads,Search,E-commerce,Australia,22772,1045,0.0459,0.95,992.75,38,26.12,5743.6,5.79,0.03636363636363636,5.785545202719718,0.04831573861501199,10.033330902684877,0.04359520463727384,1,2,1,0,0
2024-04-11,Google Ads,Search,Fintech,Germany,68449,3285,0.048,2.38,7818.3,243,32.17,60681.21,7.76,0.07397260273972603,7.7614327922949995,0.020168058752916492,11.133858830716594,0.11422080673201947,1,0,1,2,2
2024-10-26,Google Ads,Search,SaaS,UAE,51819,2497,0.0482,2.88,7191.36,138,52.11,37600.62,5.23,0.0552663195835002,5.228582632492325,0.016736105299963437,10.8555314541161,0.13877844034041567,1,0,1,4,4
2024-11-19,Google Ads,Video,Fintech,Australia,173722,3821,0.022,1.54,5884.34,201,29.28,44895.5,7.63,0.052604030358544884,7.62965770162839,0.014285705009282461,12.065217355668425,0.033872163571683496,1,0,3,2,0
2024-12-15,Google Ads,Shopping,SaaS,USA,119014,5938,0.0499,2.88,17101.44,95,180.02,23773.95,1.39,0.015998652745031997,1.3901724065341867,0.017326382872783725,11.687004814570148,0.14369267481136672,0,0,2,4,6
2024-05-20,Google Ads,Search,SaaS,Australia,159741,6868,0.043,1.37,9409.16,336,28.0,33272.11,3.54,0.0489225393127548,3.5361403143319916,0.03138683840376758,11.981315292738563,0.058902598581453726,0,0,1,4,0
2024-02-29,Google Ads,Shopping,Fintech,Germany,167982,7693,0.0458,2.64,20309.52,193,105.23,10777.69,0.53,0.02508774210321071,0.5306718228692752,0.01734847827709156,12.031618062789104,0.12090295388791657,0,0,2,2,2
2024-06-08,Google Ads,Video,Fintech,Germany,96658,2822,0.0292,3.37,9510.14,112,84.91,25060.16,2.64,0.039688164422395464,2.6350989575337485,0.008664685856176304,11.478944599804487,0.09838957975542634,0,0,3,2,2
2024-01-19,Meta Ads,Video,EdTech,India,43467,991,0.0228,1.9,1882.9,25,75.32,3146.23,1.67,0.025227043390514632,1.6709490679271337,0.011999993684213853,10.679780314182743,0.04331791934110935,0,1,3,1,3
2024-01-05,Google Ads,Search,EdTech,UK,41378,2023,0.0489,1.23,2488.29,73,34.09,9343.63,3.76,0.03608502224419179,3.755040610218262,0.03975606523897135,10.63052878474363,0.06013557929334429,0,0,1,1,5
2024-10-26,TikTok Ads,Video,EdTech,India,100673,5718,0.0568,1.05,6003.9,196,30.63,41067.13,6.84,0.03427771948233648,6.840075617515282,0.05409518657601279,11.519642852717753,0.059637638691605495,1,2,3,1,3
2024-12-13,TikTok Ads,Shopping,Healthcare,Australia,191994,14898,0.0776,1.08,16089.84,936,17.19,60355.75,3.75,0.06282722513089005,3.751171546764915,0.071851785322421,12.165224609004161,0.08380386887090222,0,2,2,3,0
2024-05-21,TikTok Ads,Display,EdTech,UK,152235,6104,0.0401,0.73,4455.92,252,17.68,48424.44,10.87,0.04128440366972477,10.867439271800212,0.054931431600778624,11.933187227321124,0.02927001018162709,1,2,0,1,5
2024-12-07,Meta Ads,Video,Fintech,Australia,66929,1539,0.023,1.21,1862.19,38,49.01,9540.22,5.12,0.024691358024691357,5.12311847878036,0.019008248753513427,11.111402576094688,0.027823365058494823,1,1,3,2,0
2024-05-09,Google Ads,Video,SaaS,Canada,188202,7189,0.0382,1.15,8267.35,376,21.99,88923.49,10.76,0.05230212825149534,10.755984686749684,0.03321736241968486,12.14527644649521,0.043928066651789034,1,0,3,4,1
2024-01-25,Google Ads,Video,Fintech,USA,184316,4091,0.0222,1.04,4254.64,309,13.77,82363.46,19.36,0.0755316548521144,19.358502717033637,0.021346133321025654,12.12441238031554,0.023083400247401204,1,0,3,2,6
